date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:05	75/75	---MCZ	200	added ('OK')	text/plain	etag:W/%228d2dcfe5528f45a0b997678b3fff1de4%22	https://pointerpointer.com/robots.txt		(from )
20:17:05	3224/3224	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2023:17:05%20GMT	https://pointerpointer.com/	C:/My%20Web%20Sites/pointer/pointerpointer.com/index.html	(from )
20:17:06	3224/3224	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2023:17:06%20GMT	https://pointerpointer.com/favicon.ico	C:/My%20Web%20Sites/pointer/pointerpointer.com/favicon.html	(from https://pointerpointer.com/)
20:17:06	190691/190691	---M--	200	added ('OK')	text/javascript	etag:12365219517717374153	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/pointer/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://pointerpointer.com/)
20:17:06	6940/6940	---M--	200	added ('OK')	image/jpeg	etag:%22d99120b672ead38a372786cdd2c42302%22	https://pointerpointer.com/like3.jpg	C:/My%20Web%20Sites/pointer/pointerpointer.com/like3.jpg	(from https://pointerpointer.com/)
20:17:06	373/373	---MCZ	200	added ('OK')	application/json	etag:W/%223997500116e68a7d0b8e27fe99765bde%22	https://pointerpointer.com/manifest.json	C:/My%20Web%20Sites/pointer/pointerpointer.com/manifest.json	(from https://pointerpointer.com/)
20:17:06	29459/29459	---M--	200	added ('OK')	image/gif	etag:%227a5429a0757cdb94d258e2927955f633%22	https://pointerpointer.com/spinner.gif	C:/My%20Web%20Sites/pointer/pointerpointer.com/spinner.gif	(from https://pointerpointer.com/)
20:17:07	1111/1111	---MCZ	200	added ('OK')	text/css	etag:W/%2277f2314f46676c1854969cbe84e7d07f%22	https://pointerpointer.com/static/css/main.326af8f0.chunk.css	C:/My%20Web%20Sites/pointer/pointerpointer.com/static/css/main.326af8f0.chunk.css	(from https://pointerpointer.com/)
20:17:07	158454/158454	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a8886743bd2a9ee87486fa4e720fe03%22	https://pointerpointer.com/static/js/2.7bc288b0.chunk.js	C:/My%20Web%20Sites/pointer/pointerpointer.com/static/js/2.7bc288b0.chunk.js	(from https://pointerpointer.com/)
20:17:07	6748/6748	---MCZ	200	added ('OK')	application/javascript	etag:W/%225958d0c7bcbe6c0129ff2c93f5cde9d8%22	https://pointerpointer.com/static/js/main.919b6db1.chunk.js	C:/My%20Web%20Sites/pointer/pointerpointer.com/static/js/main.919b6db1.chunk.js	(from https://pointerpointer.com/)
